"PLAYER_NAME";"TEAM_ABBREVIATION";"AGE";"PTS";"AST";"REB";"OREB";"DREB";"TOV";"STL";"BLK";"FG_PCT";"FG3_PCT";"FT_PCT";"Peso";"Altura";"Position"
"Aaron Gordon";"DEN";26;17,1;2,8;6,7;1,9;4,8;2;0,7;0,7;0,52;0,335;0,743;106,59412;2,032;"PF"
"Aaron Henry";"PHI";22;4,2;0;2,1;0;2,1;4,2;0;4,2;0,2;0;0;95,25432;1,9558;"SF"
"Aaron Holiday";"PHX";25;14,1;5,4;4,3;0,8;3,5;2,4;1,5;0,3;0,447;0,379;0,868;83,91452;1,8288;"PG"
"Aaron Nesmith";"BOS";22;12,3;1,4;5,6;0,9;4,6;1,9;1,3;0,3;0,396;0,27;0,808;97,52228;1,9558;"SF"
"Aaron Wiggins";"OKC";23;12,4;2;5,3;1,5;3,8;1,6;0,9;0,3;0,463;0,304;0,729;86,18248;1,9558;"SG"
"Abdel Nader";"PHX";28;8,4;1,7;6,7;1;5,7;2,7;2;1;0,343;0,286;0,6;102,0582;1,9558;"SF"
"Ade Murkey";"SAC";24;0;0;0;0;0;0;0;0;0;0;0;90,7184;1,9558;"SG"
"Admiral Schofield";"ORL";25;11,2;1,9;6,8;1,3;5,5;1,6;0,3;0,4;0,419;0,329;0,8;109,315672;1,9558;"SF"
"Ahmad Caver";"IND";25;85,4;0;0;0;0;0;0;0;1;0;0;78,925008;1,8796;"SG"
"Al Horford";"BOS";36;12,6;4,2;9,5;1,9;7,6;1,2;0,9;1,7;0,467;0,336;0,842;108,86208;2,032;"C"
"Alec Burks";"NYK";30;14,7;3,7;6,2;0,7;5,4;1,4;1,3;0,4;0,391;0,404;0,822;97,068688;1,9558;"SG"
"Aleem Ford";"ORL";24;6,9;1;7,3;1;6,4;2;0,5;0;0,3;0,133;0;99,79024;2,032;"SF"
"Aleksej Pokusevski";"OKC";20;13,6;3,8;9,3;2,1;7,2;2,7;1,1;1,1;0,408;0,289;0,7;95,25432;2,1336;"PF"
"Alex Caruso";"CHI";28;9,5;5,2;4,6;1;3,6;1,8;2,2;0,5;0,398;0,333;0,795;84,368112;1,9558;"SG"
"Alex Len";"SAC";29;13,6;2,6;9,3;3;6,3;2,5;0,8;1,5;0,534;0,286;0,651;113,398;2,1336;"C"
"Alfonzo McKinnie";"CHI";29;10,3;0,9;5,8;2,3;3,5;1,2;0,3;0,5;0,393;0,333;0,25;97,52228;2,0066;"SF"
"Alize Johnson";"NOP";26;8,8;1,9;13,1;6;7,1;2,6;1,1;0;0,436;0;0,583;96,161504;2,032;"PF"
